CD14,CD15,IL,CD4,CD8,CD19,PLA,RE,TR,V1
3,3,10,5,5,5,3,5,5,ANXA2P3
3,6,3,3,3,3,3,3,3,ANXA4
8,6,6,6,6,8,5,6,6,ANXA5
5,6,5,5,5,5,12,5,5,ANXA6
5,6,5,5,5,5,5,5,5,ANXA7
10,5,5,10,10,5,8,5,5,KDM1A
9,2,12,12,12,2,12,3,3,AP1B1
12,3,3,3,3,3,5,3,3,AP1B1
3,3,6,11,6,10,3,11,11,AP1G1
8,8,8,6,6,8,8,8,6,AP1G1
10,8,6,11,10,10,5,11,11,AP1G2
10,10,6,6,6,10,8,11,11,SYNRG
8,8,8,8,8,8,8,8,8,AP1M1
5,3,10,10,10,10,5,5,10,AP1S1
3,10,3,3,3,3,6,3,3,AP1S1
5,6,10,5,5,5,10,10,10,AP2A1
6,6,8,6,8,8,12,8,1,AP2A1
6,10,6,8,8,8,8,8,6,AP2A2
10,5,5,10,10,10,8,5,5,AP2B1
10,8,6,11,6,10,8,6,6,AP2M1
6,6,6,11,6,10,8,6,6,AP2M1
2,8,2,2,2,2,10,2,2,AP2S1
10,8,10,8,6,8,8,10,10,AP2S1
6,6,6,6,6,10,5,6,6,AP3B1
12,10,12,3,3,3,5,12,3,AP3D1
5,5,6,10,10,5,8,11,11,AP3D1
8,8,10,11,6,10,8,11,11,AP3M1
5,6,3,5,5,5,3,5,5,AP3M1
10,6,6,11,10,10,8,11,11,AP3S1
10,10,10,11,6,10,8,10,10,AP4B1
5,8,8,8,8,10,8,8,8,AP4E1
8,8,8,8,8,8,8,8,8,AP4M1
5,10,5,3,3,3,3,5,5,APAF1
8,8,8,6,8,8,8,8,8,APAF1
6,8,6,6,6,8,5,6,6,APBA3
10,5,10,5,5,5,8,10,5,APBB1IP
5,5,5,5,5,5,10,5,5,APBB2
8,8,3,8,8,8,8,5,5,APBB3
3,2,10,3,3,3,6,10,10,APBB3
6,6,8,6,8,8,8,8,8,APCDD1
8,8,8,8,8,8,8,8,8,SPEG
6,8,8,10,10,10,8,8,8,APEH
10,8,10,11,6,10,8,10,10,APEX1
3,5,5,12,12,3,10,5,5,APEX1
3,5,3,12,12,3,10,3,3,APH1A
5,5,5,5,5,5,5,5,5,APH1A
3,10,5,12,12,3,5,3,5,APH1B
3,5,3,3,3,3,12,3,3,API5
8,8,8,8,8,8,8,8,8,APIP
5,10,10,5,5,5,3,10,10,APIP
5,6,5,5,5,5,5,5,5,APLP2
10,10,10,10,10,10,3,6,6,NAXE
10,10,6,11,6,10,8,6,6,APOBR
6,6,6,6,6,8,8,11,11,APOBEC3A
5,10,5,5,5,5,8,5,5,APOBEC3C
6,6,8,6,6,8,8,6,6,APOBEC3D
5,5,5,3,3,3,10,3,5,APOBEC3F
5,5,5,5,5,5,12,5,5,APOBEC3F
2,5,1,12,12,2,9,11,11,APOBEC3F
5,10,10,10,5,10,5,10,10,APOBEC3G
8,8,8,8,8,8,8,8,8,APOBEC3G
11,8,6,8,8,8,5,11,11,APOL2
6,8,8,6,6,8,8,8,8,APOL2
10,6,3,5,5,10,8,5,3,APOL3
12,5,3,3,3,3,10,3,3,APOL6
5,6,5,5,5,5,5,5,10,APOM
10,10,10,11,10,10,8,11,11,APP
10,5,10,10,10,10,8,11,11,APP
5,10,10,5,3,10,8,10,10,APPBP2
10,5,10,6,6,10,3,10,10,APPBP2
10,6,3,3,5,5,6,5,5,APPL1
6,6,8,11,6,10,8,8,8,APPL2
10,6,6,10,10,10,8,6,6,APRT
8,6,8,8,8,8,8,8,8,APRT
8,8,6,8,8,8,8,6,6,APTX
6,6,6,8,8,8,8,6,6,APTX
3,8,5,3,3,3,5,3,5,AQP7P1
8,8,8,8,8,8,8,8,8,AQP7P1
5,8,10,10,10,8,5,10,11,AQP9
3,10,3,3,3,3,5,3,3,AQR
5,3,5,5,5,5,5,5,5,AQR
12,3,5,12,12,3,12,5,5,ARAP1
3,8,6,10,10,5,8,11,11,ARAP2
6,8,6,6,6,8,5,6,11,ARAP3
5,3,10,10,3,10,3,10,5,ARAP3
12,5,3,12,12,3,12,3,3,ARCN1
12,5,12,12,12,3,12,3,3,ARF1
12,2,3,12,12,3,12,3,3,ARF1
12,5,12,12,12,3,5,12,2,ARF3
5,6,6,10,10,10,12,11,11,ARF4
8,8,8,8,8,8,8,8,8,ARF4
10,10,10,11,10,5,5,11,11,ARF5
8,8,8,8,8,8,8,8,8,ARFGAP1
3,6,3,3,3,3,3,3,3,ARFGAP2
8,8,8,8,8,8,8,8,8,ARFGAP3
9,3,3,9,3,3,5,3,5,ARFGEF1
